commune_nom;voie_nom;commune_insee
Paris;Rue Hélène Brion;75113
Paris;Avenue Myron Herrick;75108
Paris;Rue du Château d'Eau;75110
Paris;Rue Miguel Hidalgo;75119
Paris;Rue Clavel;75119
Paris;Avenue de Montespan;75116
Paris;Rue Léonard de Vinci;75116
Paris;Rue Jacques-Henri Lartigue;75105
Paris;Rue Dénoyez;75120
Paris;Rue de Cléry;75102
Paris;Rue Trousseau;75111
Paris;Impasse Canart;75112
Paris;Rue Achille Martinet;75118
Paris;Rue des Lombards;75101
Paris;Rue de Saint-Simon;75107
Paris;Rue Vaneau;75107
Paris;Rue de Maubeuge;75109
Paris;Rue Paul Barruel;75115
Paris;Rue de la Villette;75119
Paris;Passage Geffroy-Didelot;75117
Paris;Rue Saint-Fiacre;75102
Paris;Rue de Saussure;75117
Paris;Rue Edouard Lockroy;75111
Paris;Rue du Docteur Roux;75115
Paris;Avenue de la Porte d'Ivry;75113
Paris;Rue de Gramont;75102
Paris;Rue Moufle;75111
Paris;Rue Saint-Médard;75105
Paris;Quai de la Garonne;75119
Paris;Rue Louis Delaporte;75120
Paris;Voie Ax/14;75114
Paris;Rue Eugène Delacroix;75116
Paris;Rue Eugénie Eboué;75112
Paris;Rue Brémontier;75117
Paris;Rue Christine de Pisan;75117
Paris;Rue d'Alembert;75114
Paris;Rue de l'Ecole de Médecine;75106
Paris;Rue Robert de Flers;75115
Paris;Rue Chana Orloff;75119
Paris;Rue Marguerite de Rochechouart;75109
Paris;Rue Caillaux;75113
Paris;Rue Curial;75119
Paris;Route des Petits Ponts;75119
Paris;Square du Limousin;75113
Paris;Boulevard du Palais;75104
Paris;Place du Panthéon;75105
Paris;Rue Mallet-Stevens;75116
Paris;Cité Aubry;75120
Paris;Rue Vauquelin;75105
Paris;Avenue de la Porte de Clignancourt;75118
Paris;Passage du Mont Cenis;75118
Paris;Rue de la Prévoyance;75119
Paris;Rue des Lavandières Sainte-Opportune;75101
Paris;Rue Saint-Denis;75101
Paris;Rue d'Alésia;75114
Paris;Impasse Mousset;75112
Paris;Rue Darmesteter;75113
Paris;Rue des Immeubles Industriels;75111
Paris;Rue Nollet;75117
Paris;Rue du Grand Prieuré;75111
Paris;Rue Victor Gelez;75111
Paris;Rue du Sergent Bauchat;75112
Paris;Avenue du Général Leclerc;75114
Paris;Boulevard Bessières;75117
Paris;Rue Rébeval;75119
Paris;Rue Théodore Deck;75115
Paris;Rue de Romainville;75119
Paris;Hameau du Danube;75119
Paris;Rue Henri Heine;75116
Paris;Rue de Beaujolais;75101
Paris;Villa de Saint-Mandé;75112
Paris;Impasse Guéménée;75104
Paris;Rue Gît-Le-Coeur;75106
Paris;Rue Lantiez;75117
Paris;Rue de Buci;75106
Paris;Rue David d'Angers;75119
Paris;Rue Bellot;75119
Paris;Rue Saint-Jacques;75105
Paris;Rue Montmartre;75102
Paris;Boulevard Vincent Auriol;75113
Paris;Quai de Bercy;75112
Paris;Rue Morand;75111
Paris;Villa de Lorraine;75119
Paris;Rue Saint-Fargeau;75120
Paris;Rue de Joinville;75119
Paris;Rue de la Fédération;75115
Paris;Passage Saint-Sébastien;75111
Paris;Allée Vivaldi;75112
Paris;Avenue Victor Hugo;75116
Paris;Rue Audubon;75112
Paris;Rue Desnouettes;75115
Paris;Rue Spontini;75116
Paris;Avenue Charles Floquet;75107
Paris;Rue des Frères d'Astier de la Vigerie;75113
Paris;Rue Berthe;75118
Paris;Rue d'Uzès;75102
Paris;Rue Ella Fitzgerald;75119
Paris;Rue Vivienne;75102
Paris;Impasse Hautefeuille;75106
Paris;Rue Littré;75106
Paris;Rue Pajol;75118
Paris;Rue Bonaparte;75106
Paris;Rue André Theuriet;75115
Paris;Cour des Petites Ecuries;75110
Paris;Rue des Rigoles;75120
Paris;Rue de l'Ancienne Comédie;75106
Paris;Boulevard de Beauséjour;75116
Paris;Rue Boinod;75118
Paris;Rue Cuvier;75105
Paris;Voie P/12;75112
Paris;Avenue de la Porte d'Auteuil;75116
Paris;Rue Lecomte;75117
Paris;Place Charles Bernard;75118
Paris;Rue Rémy Dumoncel;75114
Paris;Rue Villedo;75101
Paris;Villa Auguste Blanqui;75113
Paris;Rue Ernest Roche;75117
Paris;Rue Henri Pape;75113
Paris;Place de la Madeleine;75108
Paris;Rue Forest;75118
Paris;Rue Eugène Carrière;75118
Paris;Rue des Deux Ponts;75104
Paris;Rue de la Ville l'Evêque;75108
Paris;Rue de la Durance;75112
Paris;Rue Jonquoy;75114
Paris;Rue François Villon;75115
Paris;Rue de la Félicité;75117
Paris;Rue Frochot;75109
Paris;Rue des Acacias;75117
Paris;Rue Olier;75115
Paris;Allée Verte;75111
Paris;Rue Froidevaux;75114
Paris;Rue de Magdebourg;75116
Paris;Rue des Envierges;75120
Paris;Rue de l'Université;75107
Paris;Villa Jamot;75114
Paris;Rue Georges Braque;75114
Paris;Avenue du Maréchal Fayolle;75116
Paris;Rue Dieulafoy;75113
Paris;Rue Pierre Demours;75117
Paris;Rue Nansouty;75114
Paris;Rue des Mâconnais;75112
Paris;Rue de Langeac;75115
Paris;Rue de Montpensier;75101
Paris;Rue de Douai;75109
Paris;Passage Pouchet;75117
Paris;Rue Saint-Rustique;75118
Paris;Villa Faucheur;75120
Paris;Rue Désirée;75120
Paris;Rue du Clos Feuquières;75115
Paris;Cité Moynet;75112
