Adresse,Nombre de pièces,Époque de construction,Type de location,Loyer minimum (€/m²),Loyer médian (€/m²),Loyer maximum (€/m²)
"Impasse des Trois Soeurs, 75111 Paris",2 pièces,1971-1990,non meublée,16.4,23.4,28.1
"Impasse des Trois Soeurs, 75111 Paris",2 pièces,après 1990,meublée,16.4,23.4,28.1
"Impasse des Trois Soeurs, 75111 Paris",2 pièces,après 1990,non meublée,16.4,23.4,28.1
"Impasse des Trois Soeurs, 75111 Paris",3 pièces,avant 1946,meublée,16.4,23.4,28.1
"Impasse des Trois Soeurs, 75111 Paris",3 pièces,avant 1946,non meublée,16.4,23.4,28.1
"Impasse des Trois Soeurs, 75111 Paris",3 pièces,1946-1970,meublée,16.4,23.4,28.1
"Impasse des Trois Soeurs, 75111 Paris",3 pièces,1946-1970,non meublée,16.4,23.4,28.1
"Impasse des Trois Soeurs, 75111 Paris",3 pièces,1971-1990,meublée,16.4,23.4,28.1
"Impasse des Trois Soeurs, 75111 Paris",3 pièces,1971-1990,non meublée,16.4,23.4,28.1
"Impasse des Trois Soeurs, 75111 Paris",3 pièces,après 1990,meublée,16.4,23.4,28.1
"Impasse des Trois Soeurs, 75111 Paris",3 pièces,après 1990,non meublée,16.4,23.4,28.1
"Impasse des Trois Soeurs, 75111 Paris",4 pièces et plus,avant 1946,meublée,16.4,23.4,28.1
"Impasse des Trois Soeurs, 75111 Paris",4 pièces et plus,avant 1946,non meublée,16.4,23.4,28.1
"Impasse des Trois Soeurs, 75111 Paris",4 pièces et plus,1946-1970,meublée,16.4,23.4,28.1
"Impasse des Trois Soeurs, 75111 Paris",4 pièces et plus,1946-1970,non meublée,16.4,23.4,28.1
"Impasse des Trois Soeurs, 75111 Paris",4 pièces et plus,1971-1990,meublée,16.4,23.4,28.1
"Impasse des Trois Soeurs, 75111 Paris",4 pièces et plus,1971-1990,non meublée,16.4,23.4,28.1
"Impasse des Trois Soeurs, 75111 Paris",4 pièces et plus,après 1990,meublée,16.4,23.4,28.1
"Impasse des Trois Soeurs, 75111 Paris",4 pièces et plus,après 1990,non meublée,16.4,23.4,28.1
"Rue Marcadet, 75118 Paris",1 pièce,avant 1946,meublée,22.3,31.9,38.3
"Rue Marcadet, 75118 Paris",1 pièce,avant 1946,non meublée,19.6,28,33.6
"Rue Marcadet, 75118 Paris",1 pièce,1946-1970,meublée,21.2,30.3,36.4
"Rue Marcadet, 75118 Paris",1 pièce,1946-1970,non meublée,20.4,29.1,34.9
"Rue Marcadet, 75118 Paris",1 pièce,1971-1990,meublée,22.3,31.9,38.3
"Rue Marcadet, 75118 Paris",1 pièce,1971-1990,non meublée,21.8,31.2,37.4
"Rue Marcadet, 75118 Paris",1 pièce,après 1990,meublée,23.0,32.8,39.4
"Rue Marcadet, 75118 Paris",1 pièce,après 1990,non meublée,21.5,30.7,36.8
"Rue Marcadet, 75118 Paris",2 pièces,avant 1946,meublée,23.3,33.3,40.0
"Rue Marcadet, 75118 Paris",2 pièces,avant 1946,non meublée,20.4,29.2,35.0
"Rue Marcadet, 75118 Paris",2 pièces,1946-1970,meublée,21.1,30.2,36.2
"Rue Marcadet, 75118 Paris",2 pièces,1946-1970,non meublée,16.5,23.5,28.2
"Rue Marcadet, 75118 Paris",2 pièces,1971-1990,meublée,17.1,24.4,29.3
"Rue Marcadet, 75118 Paris",2 pièces,1971-1990,non meublée,17.1,24.4,29.3
"Rue Marcadet, 75118 Paris",2 pièces,après 1990,meublée,15.8,22.6,27.1
"Rue Marcadet, 75118 Paris",2 pièces,après 1990,non meublée,15.8,22.6,27.1
"Rue Marcadet, 75118 Paris",3 pièces,avant 1946,meublée,15.8,22.6,27.1
"Rue Marcadet, 75118 Paris",3 pièces,avant 1946,non meublée,15.8,22.6,27.1
"Rue Marcadet, 75118 Paris",3 pièces,1946-1970,meublée,15.8,22.6,27.1
"Rue Marcadet, 75118 Paris",3 pièces,1946-1970,non meublée,15.8,22.6,27.1
"Rue Marcadet, 75118 Paris",3 pièces,1971-1990,meublée,15.8,22.6,27.1
"Rue Marcadet, 75118 Paris",3 pièces,1971-1990,non meublée,15.8,22.6,27.1
"Rue Marcadet, 75118 Paris",3 pièces,après 1990,meublée,15.8,22.6,27.1
"Rue Marcadet, 75118 Paris",3 pièces,après 1990,non meublée,15.8,22.6,27.1
"Rue Marcadet, 75118 Paris",4 pièces et plus,avant 1946,meublée,15.8,22.6,27.1
"Rue Marcadet, 75118 Paris",4 pièces et plus,avant 1946,non meublée,15.8,22.6,27.1
"Rue Marcadet, 75118 Paris",4 pièces et plus,1946-1970,meublée,15.8,22.6,27.1
"Rue Marcadet, 75118 Paris",4 pièces et plus,1946-1970,non meublée,15.8,22.6,27.1
"Rue Marcadet, 75118 Paris",4 pièces et plus,1971-1990,meublée,15.8,22.6,27.1
"Rue Marcadet, 75118 Paris",4 pièces et plus,1971-1990,non meublée,15.8,22.6,27.1
"Rue Marcadet, 75118 Paris",4 pièces et plus,après 1990,meublée,15.8,22.6,27.1
"Rue Marcadet, 75118 Paris",4 pièces et plus,après 1990,non meublée,15.8,22.6,27.1
"Rue de Tracy, 75102 Paris",1 pièce,avant 1946,meublée,26.3,37.5,45.0
"Rue de Tracy, 75102 Paris",1 pièce,avant 1946,non meublée,23.0,32.9,39.5
"Rue de Tracy, 75102 Paris",1 pièce,1946-1970,meublée,25.8,36.9,44.3
"Rue de Tracy, 75102 Paris",1 pièce,1946-1970,non meublée,22.7,32.4,38.9
"Rue de Tracy, 75102 Paris",1 pièce,1971-1990,meublée,21.3,30.4,36.5
"Rue de Tracy, 75102 Paris",1 pièce,1971-1990,non meublée,21.8,31.2,37.4
"Rue de Tracy, 75102 Paris",1 pièce,après 1990,meublée,20.7,29.6,35.5
"Rue de Tracy, 75102 Paris",1 pièce,après 1990,non meublée,20.4,29.2,35.0
"Rue de Tracy, 75102 Paris",2 pièces,avant 1946,meublée,21.3,30.4,36.5
"Rue de Tracy, 75102 Paris",2 pièces,avant 1946,non meublée,18.3,26.2,31.4
"Rue de Tracy, 75102 Paris",2 pièces,1946-1970,meublée,18.8,26.8,32.2
"Rue de Tracy, 75102 Paris",2 pièces,1946-1970,non meublée,16.5,23.5,28.2
