name,latitude,longitude,type
Atelier 103,48.8632455,2.3860891,pub
Pharmacie de la Place Métivier,48.8633561,2.3882344,pharmacy
Batistou,48.8626607,2.3872306,cafe
Le Murger,48.8786905,2.3756006,cafe
Unknown,48.8785863,2.3753228,post_box
Le Navigateur,48.878014,2.3739566,bar
Pharmacie de l'Avenir,48.8782025,2.373445,pharmacy
La Forge,48.8782429,2.3737667,cafe
CCF,48.8774625,2.3700498,bank
Café des Dames,48.8781803,2.371016,cafe
Pharmacie des Écoles,48.877532,2.3738783,pharmacy
Café Chéri(e),48.874105,2.3752878,bar
Le Dauphin,48.8812032,2.3729855,cafe
McDonald's,48.8822632,2.3705591,fast_food
Unknown,48.8784383,2.3739531,toilets
Les Frangins,48.8783507,2.3725782,cafe
Le Mathurin,48.8780494,2.3721369,restaurant
25° Est,48.883838,2.3707362,bar
Fontaine Wallace,48.8478893,2.3992736,drinking_water
Police nationale,48.8426264,2.3901753,police
Unknown,48.8557127,2.2623788,post_box
Unknown,48.8526536,2.2624339,post_box
Unknown,48.8514697,2.2610951,post_box
Fontaine Wallace,48.8480669,2.2646701,drinking_water
Unknown,48.8487159,2.259399,post_box
Unknown,48.8500861,2.2597675,post_box
Unknown,48.8752764,2.2959457,post_box
Unknown,48.8745801,2.2934897,post_box
Unknown,48.8533409,2.3262965,recycling
Unknown,48.8683584,2.2773459,post_box
Direction centrale de la Sécurité publique,48.8675566,2.2753192,police
Unknown,48.8604104,2.274026,post_box
Unknown,48.8580931,2.2740131,post_box
Unknown,48.877342,2.2992163,post_box
Unknown,48.8778327,2.2985481,post_box
Unknown,48.8791389,2.2969893,post_box
Unknown,48.8830452,2.3027346,post_box
Unknown,48.885092,2.303148,post_box
Unknown,48.8629128,2.2760901,post_box
Unknown,48.8422582,2.2902376,post_box
Paris Boucicaut / Citroën,48.8414439,2.2869114,post_office
The Gazoline Stand,48.8563472,2.3151704,fuel
Unknown,48.8757467,2.2894169,post_box
Paris Grande Armée,48.8767699,2.2867318,post_office
Unknown,48.8766598,2.2867783,post_box
Unknown,48.8773156,2.2846583,post_box
Unknown,48.8759061,2.2868806,post_box
Unknown,48.8754191,2.2890421,post_box
Unknown,48.8798813,2.3403438,post_box
Unknown,48.8821984,2.3397918,post_box
Unknown,48.8403181,2.2957829,post_box
Unknown,48.8806821,2.308897,post_box
Unknown,48.8809461,2.3120004,post_box
Unknown,48.8825195,2.3118159,post_box
Le Roi du Pot-au-Feu,48.8721672,2.326644,restaurant
Au Banquier,48.8360044,2.3574926,restaurant
Sala Thaï,48.8237611,2.3626525,restaurant
Unknown,48.8624298,2.2734952,post_box
Unknown,48.8802563,2.2982452,post_office
Unknown,48.8832589,2.3069855,post_box
Unknown,48.8840083,2.304702,post_box
Unknown,48.8830046,2.3089682,post_box
Unknown,48.885274,2.3075922,post_box
Unknown,48.881353,2.3153721,post_box
Unknown,48.8533749,2.2712377,post_box
Unknown,48.8551999,2.2699689,post_box
La Banque Postale,48.8294672,2.3084779,bank
LCL,48.8318705,2.3145008,bank
Bibliothèque municipale Aimé Césaire,48.8312882,2.3115582,library
Paris Charonne,48.8587218,2.402888,post_office
Paris Buzenval,48.8521928,2.4013589,post_office
Le Belushi's Bar Canal,48.8884858,2.3790155,bar
Unknown,48.8852571,2.2966894,post_box
Unknown,48.8856631,2.2906532,post_box
Unknown,48.887825,2.2995926,post_box
Unknown,48.8869565,2.3009488,post_box
Unknown,48.8887365,2.3008658,post_box
Unknown,48.8908207,2.3050937,post_box
Unknown,48.8869664,2.3044835,post_box
Unknown,48.8567077,2.2762212,post_box
Unknown,48.8541107,2.2754437,post_box
Unknown,48.8513172,2.2780775,post_box
Maison de la Radio,48.8512657,2.2781107,taxi
Unknown,48.8524943,2.2680823,post_box
Unknown,48.8489205,2.2712212,post_box
Unknown,48.8492542,2.2668856,post_box
Unknown,48.8823672,2.320834,post_box
Unknown,48.8829037,2.3179094,post_box
Unknown,48.8840297,2.3176233,post_box
Unknown,48.8853787,2.3160641,post_box
Unknown,48.8872976,2.3135386,post_box
Unknown,48.8861082,2.3101949,post_box
Unknown,48.8882019,2.3102585,post_box
Unknown,48.8865358,2.3185716,post_box
Unknown,48.8894025,2.3185279,post_box
Unknown,48.8881835,2.3210599,post_box
Unknown,48.8553485,2.2722254,post_box
Unknown,48.8622843,2.2705354,post_box
Unknown,48.8637349,2.2693663,post_box
Unknown,48.8434181,2.299769,recycling
Sweet KT,48.8477383,2.3484392,restaurant
Invitez Vous chez Nous,48.8415272,2.3511512,restaurant
La P'tite Louise,48.8718873,2.3570864,restaurant
Chez Gladines,48.8288139,2.3506397,restaurant
Unknown,48.8549919,2.26561,post_box
Unknown,48.8454411,2.2589881,post_box
Unknown,48.8393042,2.2615454,post_box
Unknown,48.8380019,2.2580168,post_box
Unknown,48.8665986,2.2718332,post_box
Jupi,48.8844355,2.3243334,restaurant
Lush,48.8851266,2.3251655,bar
Giulia,48.8881228,2.3212456,restaurant
Le Bar Belge,48.8924314,2.3270614,bar
Les Caves Populaires,48.8847758,2.3246274,bar
L'Abadache,48.8886141,2.3198123,restaurant
Unknown,48.8474299,2.2673164,post_box
Unknown,48.841482,2.266777,post_box
Unknown,48.840574,2.2650451,post_box
Unknown,48.8392342,2.2648836,post_box
Just BE,48.8879876,2.3341073,restaurant
Môm'artre,48.8889497,2.3316058,arts_centre
Nawab,48.894047,2.3341991,restaurant
Crédit Agricole,48.8689224,2.333535,bank
Unknown,48.8587296,2.2848368,post_box
Unknown,48.837187,2.2589751,post_box
Café Biergit,48.8835953,2.3233585,cafe
La Cuisine de Philippe,48.8492934,2.3349249,restaurant
Unknown,48.8504191,2.406308,recycling
Matsuyama,48.841429,2.2990451,restaurant
Unknown,48.8396585,2.3019622,toilets
Caisse d'Épargne,48.8395609,2.3021892,bank
Oil France,48.8611046,2.3413657,fuel
Unknown,48.8610917,2.3414339,parking
Le Refuge des Fondus,48.8844671,2.3410906,restaurant
